Timestamp;Source;Destination;Flags;Seq;Ack;Win;Options;Length;Data
11:42:04.766656;BP-Linux8.ssh;192.168.190.130.50019;[P.];2243505564:2243505672;1972915080;312;[nop,nop,TS val 102917262 ecr 377952805], length 108;108;
11:42:04.766694;BP-Linux8.ssh;192.168.190.130.50019;[P.];108:144;1;312;[nop,nop,TS val 102917262 ecr 377952805], length 36;36;
11:42:04.766723;BP-Linux8.ssh;192.168.190.130.50019;[P.];144:252;1;312;[nop,nop,TS val 102917262 ecr 377952805], length 108;108;
11:42:04.766744;BP-Linux8.ssh;192.168.190.130.50019;[P.];252:288;1;312;[nop,nop,TS val 102917262 ecr 377952805], length 36;36;
11:42:04.785366;192.168.190.130.50019;BP-Linux8.ssh;[.];108;7319;[nop,nop,TS;377953205 ecr 102917262], length 0;0;
11:42:04.785384;192.168.190.130.50019;BP-Linux8.ssh;[.];144;7318;[nop,nop,TS;377953205 ecr 102917262], length 0;0;
11:42:04.785406;192.168.190.130.50019;BP-Linux8.ssh;[.];252;7316;[nop,nop,TS;377953205 ecr 102917262], length 0;0;
11:42:04.785454;192.168.190.130.50019;BP-Linux8.ssh;[.];288;7320;[nop,nop,TS;377953205 ecr 102917262], length 0;0;
11:42:06.669393;192.168.190.130.50245;BP-Linux8.ssh;[P.];1601828178:1601828214;1851233244;2048;[nop,nop,TS val 377955086 ecr 102913805], length 36;36;
11:42:06.669906;BP-Linux8.ssh;192.168.190.130.50245;[P.];1:37;36;291;[nop,nop,TS val 102917738 ecr 377955086], length 36;36;
11:42:06.681188;BP-Linux8.ssh;192.168.190.130.50245;[P.];37:153;36;291;[nop,nop,TS val 102917741 ecr 377955086], length 116;116;
11:42:06.681222;BP-Linux8.ssh;192.168.190.130.50245;[P.];153:189;36;291;[nop,nop,TS val 102917741 ecr 377955086], length 36;36;
